Submission_ID;Submission_date;Virus_Acronym;Sequence_ID;Isolate;Bioproject;Country
3005663;17/10/2025;PaCVL2;PaCVL2_SRR1405683_RNA1;SRR1405683;PRJNA252662;uncalculated
3005673;18/10/2025;EaDV;EaDV_SRR27827662_RNA1;SRR27827662;PRJNA1071039;Poland
3005679;19/10/2025;DfaDLV;DfaDLV_SRR17665597_RNA1;SRR17665597;PRJNA317244;Hungary
3005682;20/10/2025;EhaBV;EhaBV_SRR27827655_RNA1;SRR27827655;PRJNA1071039;Poland
3005682;21/10/2025;PhaBV;PhaBV_SRR6513338_RNA1;SRR6513338;PRJNA431671;China
3005682;22/10/2025;ClaBV;ClaBV_SRR26456953_RNA1;SRR26456953;PRJNA1029356;China
3005682;23/10/2025;CsaBV;CsaBV_SRR15368600_RNA1;SRR15368600;PRJNA752837;USA
3005688;24/10/2025;MaBV1;MaBV1_SRR6127592;SRR6127592;PRJNA412930;USA
3005688;25/10/2025;DaBV1;DaBV1_SRR14635797;SRR14635797;PRJNA732289;uncalculated
3005688;26/10/2025;PaBaV1;PaBaV1_SRR21460664;SRR21460664;PRJNA877420;China
3005688;27/10/2025;PaBaV1;PaBaV1_SRR9842189;SRR9842189;PRJNA550294;China
3005688;28/10/2025;PaBaV2;PaBaV2_SRR21460660;SRR21460660;PRJNA877420;China
3005688;29/10/2025;PaBaV3;PaBaV3_SRR21460662;SRR21460662;PRJNA877420;China
3005688;30/10/2025;PaBaV4;PaBaV4_SRR9842184;SRR9842184;PRJNA550294;China
3005688;31/10/2025;PaBaV4;PaBaV4_SRR14793834;SRR14793834;PRJNA737079;uncalculated
3005693;1/11/2025;CyaAEDV1;CyaAEDV1_SRR16349014;SRR16349014;PRJNA771426;China
3005693;2/11/2025;EpAEDV1;EpAEDV1_SRR7030606;SRR7030606;PRJNA450088;France
3005693;3/11/2025;EpEDV2;EpEDV2_SRR7030609;SRR7030609;PRJNA450088;France
3005693;4/11/2025;HdAEDV1;HdAEDV1_SRR5722143;SRR5722143;PRJNA310678;China
3005693;5/11/2025;LaAEDV1;LaAEDV1_SRR12850912;SRR12850912;PRJNA670210;nan
3005696;6/11/2025;DoaBV1;DoaBV1_SRR21782702_RNA1;SRR21782702;PRJNA881972;China
3005696;7/11/2025;DoaBV1;DoaBV1_SRR21782702_RNA2;SRR21782702;PRJNA881972;China
3005697;8/11/2025;OphrDPV1;OphrDPV1_SRR10189299_RNA1_RdRp;SRR10189299;PRJNA574279;Greece
3005697;9/11/2025;OphrDPV1;OphrDPV1_SRR10189310_RNA1_RdRp;SRR10189310;PRJNA574279;Italy
3005697;10/11/2025;OphrDPV1;OphrDPV1_SRR10189341_RNA1_RdRp;SRR10189341;PRJNA574279;Greece
3005697;11/11/2025;OphrDPV2;OphrDPV2_SRR10189297;SRR10189297;PRJNA574279;Greece
3005697;12/11/2025;OphrDPV3;OphrDPV3_SRR10189295;SRR10189295;PRJNA574279;Greece
3005697;13/11/2025;OphrDPV3;OphrDPV3_SRR10189297;SRR10189297;PRJNA574279;Greece
3005697;14/11/2025;OphrDPV4;OphrDPV4_SRR10189296_RNA1;SRR10189296;PRJNA574279;Greece
3005697;15/11/2025;OphrDPV4;OphrDPV4_SRR10189303_RNA1;SRR10189303;PRJNA574279;Italy
3005697;16/11/2025;OphrDPV4;OphrDPV4_SRR10189312_RNA1;SRR10189312;PRJNA574279;Italy
3005697;17/11/2025;OphrDPV4;OphrDPV4_SRR10189319_RNA1;SRR10189319;PRJNA574279;Greece
3005697;18/11/2025;OphrDPV6;OphrDPV6_SRR10189296_RNA1;SRR10189296;PRJNA574279;Greece
